782 334
323 441
432 1000
100 692
304 834
574 472
612 465
370 813
690 393
742 591
72 916
484 493
961 283
447 897
640 120
431 691
69 697
340 781
712 637
441 762
820 763
300 685
154 920
435 60
834 671
611 138
328 126
784 373
802 527
656 110
492 509
38 585
948 540
719 938
786 618
789 243
199 404
969 949
197 84
555 958
863 20
402 70
787 381
792 862
787 633
109 715
548 846
491 134
907 323
98 799
918 691
811 254
972 851
187 704
432 83
47 610
290 191
1000 370
639 636
174 90
44 875
508 64
487 858
406 145
97 745
127 459
819 392
647 238
425 354
370 900
644 32
240 914
212 469
658 707
247 27
448 87
819 725
352 113
593 311
656 459
302 146
76 260
311 350
522 551
233 32
913 47
945 933
613 182
793 754
758 233
577 629
21 358
501 784
798 675
993 769
735 728
474 221
706 597
702 677
885 364
634 578
420 252
353 376
739 161
834 167
600 259
842 819
449 201
959 586
355 130
470 847
427 394
874 717
473 146
882 309
415 843
312 892
19 911
356 778
414 388
815 942
180 281
277 656
251 41
699 542
515 552
434 643
625 920
123 602
211 961
295 729
819 166
442 404
398 85
461 737
840 621
479 707
223 907
340 974
730 580
570 541
547 714
690 392
520 388
817 321
709 769
979 127
17 921
308 97
467 501
117 617
876 690
197 173
647 405
2 331
173 413
28 782
467 872
16 340
846 812
966 111
738 588
460 984
421 877
415 329
835 418
430 912
843 896
664 361
677 511
915 655
39 868
932 521
409 673
14 892
31 734
265 287
212 25
776 745
957 478
976 887
292 528
932 723
287 805
738 44
510 268
744 802
981 465
972 440
845 628
291 689
106 997
635 384
263 136
943 197
150 132
643 273
722 370
168 272
27 940
171 943
424 57
804 939
582 647
411 808
728 38
457 482
877 578
279 932
195 315
770 117
722 600
827 174
25 209
104 10
312 340
163 809
226 566
430 441
9 437
749 282
73 869
355 384
383 411
590 355
874 68
230 33
761 979
27 486
139 88
957 564
855 17
506 547
477 333
799 144
838 246
981 272
826 847
720 850
560 745
787 130
216 46
519 977
87 512
777 230
926 406
147 476
515 144
714 924
60 656
881 705
204 403
854 908
574 79
37 498
13 282
440 947
692 202
285 397
975 680
783 352
299 483
354 896
858 750
918 763
948 736
774 699
105 595
801 712
940 25
205 650
952 81
641 636
676 93
581 602
959 80
874 88
249 603
321 818
23 368
398 301
240 287
794 369
671 879
896 178
999 898
583 54
758 841
301 436
160 884
856 683
417 286
832 385
763 284
942 412
400 443
127 272
233 916
8 852
490 684
842 61
868 243
938 797
181 769
586 201
79 150
207 551
279 169
908 415
288 735
838 185
909 792
925 344
957 508
668 362
329 963
533 482
517 331
650 728
71 519
721 546
796 727
140 946
481 102
373 281
464 916
153 166
473 561
733 335
390 96
986 722
830 254
685 520
874 737
704 941
708 430
124 931
58 488
200 111
485 915
903 786
181 117
372 207
213 914
756 918
922 545
75 196
512 658
732 149
534 143
419 380
807 631
162 906
55 354
87 857
32 867
105 540
661 434
563 171
645 289
121 254
395 744
573 934
351 511
544 95
29 763
684 212
283 999
605 24
14 713
602 844
113 92
791 887
465 727
941 710
785 975
679 419
881 244
443 992
851 296
450 686
582 542
887 839
424 906
985 462
952 805
100 27
705 870
169 269
918 155
437 897
277 832
303 332
693 706
271 597
103 461
154 99
554 787
215 949
765 425
426 755
719 752
113 99
213 258
569 548
383 59
742 655
998 15
217 111
93 501
335 76
391 166
178 70
127 482
658 9
876 478
58 954
699 581
150 735
590 726
469 354
431 939
628 825
21 498
648 634
298 66
874 915
216 912
944 934
801 731
731 672
606 138
580 785
127 545
699 824
913 794
815 977
210 642
308 455
246 334
267 120
377 141
53 241
264 68
715 529
833 463
218 986
121 32
86 696
111 844
10 647
853 864
260 253
463 53
733 6
527 302
810 790
973 432
344 820
420 510
460 913
791 940
764 812
299 986
878 935
999 696
467 110
463 571
745 850
901 994
145 829
800 59
956 252
639 631
463 958
829 868
915 226
193 915
485 330
886 14
883 596
351 1
197 287
734 73
558 956
509 777
497 30
419 769
535 336
13 962
134 379
889 950
279 940
678 141
733 554
310 799
955 710
214 397
878 220
880 658
169 772
817 223
234 856
945 370
87 263
61 441
592 289
664 953
829 684
430 51
585 860
827 405
705 469
907 32
197 520
400 245
490 968
601 567
992 976
285 156
494 463
979 823
650 294
608 794
718 645
649 204
333 936
452 804
76 481
483 416
607 312
441 561
838 673
763 720
838 561
19 495
98 834
687 943
561 295
527 607
810 954
999 376
851 548
273 322
612 546
590 78
377 304
680 599
448 150
228 274
877 314
190 46
39 717
684 665
188 208
385 90
351 34
812 2
947 636
131 660
270 718
987 901
181 47
610 128
729 583
847 420
3 451
210 732
437 551
120 362
248 155
351 182
713 613
569 374
35 590
727 809
836 273
985 348
38 967
339 24
788 5
188 167
203 474
221 939
989 810
946 697
914 97
761 955
961 496
425 908
406 753
434 571
162 277
521 786
792 797
48 912
929 484
873 927
815 81
573 337
905 386
891 548
904 77
747 158
836 858
655 517
842 873
226 829
472 889
540 911
179 74
308 772
565 507
986 19
415 714
380 354
5 15
69 21
33 370
704 567
303 363
666 366
821 662
917 943
329 961
11 968
492 824
806 848
239 734
29 687
786 428
163 452
363 763
575 204
441 918
699 785
522 693
328 472
427 614
278 728
245 105
230 761
746 715
970 522
549 112
203 283
914 916
998 527
955 560
523 775
670 767
501 297
489 889
454 853
285 395
764 786
591 963
162 438
230 101
633 67
497 819
468 291
964 497
812 574
482 767
317 415
379 249
764 153
879 800
769 162
811 664
664 414
897 635
695 716
639 977
467 5
89 436
411 647
749 67
643 403
371 720
71 176
196 333
192 575
654 350
104 837
438 991
478 453
204 754
569 39
946 379
249 934
777 988
855 705
49 522
391 921
746 678
76 447
508 855
898 382
11 767
971 876
959 750
648 473
264 138
289 888
462 221
772 897
505 113
757 270
998 745
96 930
57 456
124 97
80 983
152 74
120 77
410 31
902 447
594 798
527 474
522 69
184 519
116 493
337 700
807 911
864 50
430 969
905 902
114 701
235 546
326 161
888 476
310 1000
509 249
215 525
700 171
835 698
917 11
153 89
926 259
10 56
108 906
439 916
754 710
733 243
990 732
15 172
145 110
159 852
889 896
609 812
851 649
670 396
588 674
845 783
471 311
605 697
233 66
594 764
949 660
770 486
553 743
769 1000
625 584
941 219
850 103
445 815
443 958
800 481
64 18
418 142
297 683
375 439
573 369
868 216
414 625
735 553
288 377
78 417
741 626
216 937
5 451
206 997
361 58
766 250
823 289
188 77
434 269
130 338
653 416
298 959
120 854
669 86
500 313
337 859
973 920
786 856
518 977
447 84
206 27
232 109
324 320
288 333
920 185
412 761
284 870
629 523
697 861
622 387
808 386
328 865
883 782
125 1000
419 54
782 917
505 89
80 365
604 255
121 109
856 710
602 32
380 601
225 929
851 273
1 923
12 891
59 357
941 622
407 782
969 829
806 938
358 771
802 693
817 287
609 164
79 872
79 922
224 436
689 121
321 745
646 577
589 547
717 402
387 954
884 85
488 446
366 351
681 344
931 335
78 588
898 741
144 63
411 939
398 676
409 903
81 755
441 497
827 819
545 322
591 929
342 406
85 367
613 415
887 221
18 262
473 419
322 733
207 727
145 609
420 342
880 460
617 229
307 803
483 522
119 407
332 352
890 540
320 596
265 236
420 985
547 539
127 63
635 827
228 570
672 725
94 456
198 746
270 869
295 181
407 95
681 402
752 445
854 172
631 292
775 580
475 100
218 375
740 257
64 790
423 185
882 578
210 439
806 966
693 972
854 981
967 630
958 457
445 58
843 298
112 637
738 148
480 105
